Categoría,Descripción
Obligaciones,Alquiler/Hipoteca
Obligaciones,Seguro de salud
Obligaciones,Electricidad
Obligaciones,Agua potable
Obligaciones,Internet y telefonía
Obligaciones,Impuestos municipales
Obligaciones,Supermercado (Cesta básica)
Obligaciones,Transporte al trabajo
Obligaciones,Seguro del coche
Obligaciones,Mantenimiento del hogar
Obligaciones,Medicamentos crónicos
Obligaciones,Colegiatura/Educación
Obligaciones,Pago de tarjeta de crédito (mínimo)
Obligaciones,Gas / Calefacción
Obligaciones,Productos de higiene personal
Obligaciones,Limpieza del hogar
Obligaciones,Ropa de trabajo necesaria
Obligaciones,Reparación urgente de electrodomésticos
Obligaciones,Intereses bancarios
Obligaciones,Gastos de comunidad
Obligaciones,Gimnasio (por salud/rehabilitación)
Obligaciones,Lavandería
Obligaciones,Peajes
Obligaciones,ITV / Revisión técnica del vehículo
Obligaciones,Fondo de emergencia
Obligaciones,Papelería y útiles de oficina
Obligaciones,Suscripción de software profesional
Obligaciones,Servicio de basura
Obligaciones,Cuidado de dependientes
Obligaciones,Renovación de documentos (DNI/Pasaporte)
Obligaciones,Aportes jubilatorios adicionales
Obligaciones,Reparación de calzado diario
Obligaciones,Material escolar
Obligaciones,Crédito personal
Obligaciones,Clases de refuerzo necesarias
Obligaciones,Consulta médica especialista
Obligaciones,Seguro de vidax`
Obligaciones,Mantenimiento preventivo caldera
Obligaciones,Filtros de agua
Obligaciones,Peluquería básica
Obligaciones,Alimento para mascotas
Obligaciones,Veterinario (vacunas)
Obligaciones,Pequeñas reparaciones eléctricas
Obligaciones,Herramientas básicas de reparación
Obligaciones,Uniformes
Obligaciones,Tasa de reciclaje
Obligaciones,Multa de tráfico (pendiente)
Obligaciones,Gastos de gestoría
Obligaciones,Trámites notariales
Obligaciones,Suscripción de noticias/diario profesional
Ocio,Cena en restaurante
Ocio,Entrada de cine
Ocio,Suscripción a Netflix
Ocio,Videojuegos (compra digital)
Ocio,Viaje de fin de semana
Ocio,Concierto de música en vivo
Ocio,Copas con amigos
Ocio,Entrada a museo
Ocio,Libro de ficción
Ocio,Suscripción a Spotify
Ocio,Clase de pintura por hobby
Ocio,Ropa de marca por capricho
Ocio,Cena de delivery (Pizza/Sushi)
Ocio,Entrada a parque temático
Ocio,Alquiler de equipo de esquí
Ocio,Masaje relajante / Spa
Ocio,Compra de gadget tecnológico (no esencial)
Ocio,Curso de cocina tailandesa
Ocio,Entrada a partido de fútbol
Ocio,Cata de vinos
Ocio,Café de especialidad diario
Ocio,Suscripción a revista de moda
Ocio,Juguetes o hobbies (maquetas/lego)
Ocio,Viaje al extranjero
Ocio,Alquiler de kayak
Ocio,Entrada a teatro
Ocio,Postre en pastelería gourmet
Ocio,Evento de networking social
Ocio,Suscripción a gimnasio premium
Ocio,Decoración no esencial para casa
Ocio,Cervezas artesanales
Ocio,Brunch de domingo
Ocio,Entrada a festival de música
Ocio,Vuelo en globo
Ocio,Alquiler de bicicleta recreativa
Ocio,Tatuaje nuevo
Ocio,Tratamiento de belleza estético
Ocio,Cine de verano
Ocio,Escape room con amigos
Ocio,Compra de vinilos
Ocio,Suscripción a Disney+
Ocio,Viaje en crucero
Ocio,Entradas para el zoo/acuario
Ocio,Juegos de mesa
Ocio,Merienda en cafetería temática
Ocio,Clase de baile (Salsa/Bachata)
Ocio,Picnic con productos gourmet
Ocio,Excursión guiada por la ciudad
Ocio,Bolera / Bowling
Ocio,Paracaidismo
